name;region;population;lat;lon
г. Южноуральск;Челябинская область;37478;54.4490432;61.2581713
г. Истра;Московская область;37474;55.9061876;36.8600649
г. Качканар;Свердловская область;37307;58.7050979;59.4839558
г. Красноуфимск;Свердловская область;37301;56.612429;57.7635494
г. Коркино;Челябинская область;37224;54.8903864;61.4032939
г. Джанкой;Республика Крым;37014;45.7092913;34.3883718
г. Ирбит;Свердловская область;37009;57.683808;63.0576929
пгт Маркова рп;Иркутская область;36971;52.211106;104.207909
г. Мценск;Орловская область;36960;53.2789769;36.5749963
г. Усть-Кут;Иркутская область;36918;56.780878;105.745373
г. Моздок;Республика Северная Осетия — Алания;36784;43.7472597;44.657072
г. Заволжье;Нижегородская область;36763;56.6404919;43.3870929
г. Кинель;Самарская область;36729;53.2209314;50.6343567
г. Урюпинск;Волгоградская область;36669;50.7904909;42.0289034
г. Реж;Свердловская область;36585;57.3716798;61.38338
г. Алексеевка;Белгородская область;36578;50.6299988;38.6881066
станица Динская;Краснодарский край;36576;45.2362774;39.2405427
г. Ефремов;Тульская область;36545;53.137603;38.117673
г. Малгобек;Республика Ингушетия;36480;43.5097018;44.5901112
г. Елизово;Камчатский край;36240;53.1829398;158.3884312
г. Вязники;Владимирская область;36203;56.2977573;42.268676
г. Алапаевск;Свердловская область;36189;57.8476947;61.6695786
г. Учалы;Республика Башкортостан;36175;54.3066963;59.4127255
г. Черняховск;Калининградская область;36128;54.6245018;21.7969164
г. Кыштым;Челябинская область;36045;55.706159;60.5562529
пгт Горячеводский рп;Ставропольский край;36032;44.0236208;43.0973777
г. Беслан;Республика Северная Осетия — Алания;35929;43.1936637;44.533792
Балаклава;Севастополь;35919;44.501414;33.600037
г. Людиново;Калужская область;35874;53.8701272;34.4385772
г. Звенигород;Московская область;35842;55.7295881;36.8553623
г. Спасск-Дальний;Приморский край;35732;44.5900901;132.8158275
г. Светлоград;Ставропольский край;35703;45.3286594;42.856594
г. Красный Сулин;Ростовская область;35697;47.883196;40.0781926
г. Фролово;Волгоградская область;35661;49.7648209;43.6649431
г. Ахтубинск;Астраханская область;35635;48.2753708;46.1905298
г. Саянск;Иркутская область;35561;54.1108195;102.1802309
станица Ленинградская;Краснодарский край;35561;46.3449638;39.3907816
г. Апрелевка;Московская область;35514;55.527617;37.0650837
г. Благовещенск;Республика Башкортостан;35481;55.0498049;55.9553149
г. Лесозаводск;Приморский край;35433;45.4780131;133.4185314
